"cytokine","gene","Hugo_Symbol","baseMean","log2FoldChange","lfcSE","conf.low","conf.high","stat","pvalue","padj"
"CCL2","ENSCAFG00000011499","SNAI1",236.1467018,3.297911283,0.356595065,2.5989849556,3.9968376104,9.24833685794277,1.46e-20,2.25e-16
"CCL2","ENSCAFG00000013252","NMNAT2",516.6021995,5.175288193,0.87180953,3.4665415142,6.8840348718,5.93626017485723,8.9e-10,6.87e-06
"CCL2","ENSCAFG00000017916","SEMA7A",3789.545174,4.543260079,0.835249304,2.90617144316,6.18034871484,5.43940600398273,2.02e-08,0.000103687
"CCL2","ENSCAFG00000047849","NA",556.7008036,5.093615161,0.992949362,3.14743441148,7.03979591052,5.12978340681989,7.43e-08,0.00028658
"CCL2","ENSCAFG00000012070","FGR",1171.957244,-7.670822558,1.7570216,-11.114584894,-4.227060222,-4.36581004923331,1.86e-07,0.000479641
"CCL2","ENSCAFG00000014200","IL12A",90.89890552,2.309794227,0.455647069,1.41672597175999,3.20286248223999,5.06926168112803,1.63e-07,0.000479641
"CCL2","ENSCAFG00000010457","RIPOR2",244.6906101,-5.858535071,1.247790837,-8.30420511152,-3.41286503048,-4.69512589552699,2.85e-07,0.000628143
"CCL2","ENSCAFG00000015750","IQSEC3",31.36648854,4.648021645,0.992522666,2.70267721964,6.59336607036,4.68303828640221,5.07e-07,0.000977624
"CCL2","ENSCAFG00000016252","NA",418.3598338,-4.924386236,1.21213563,-7.3001720708,-2.5486004012,-4.06257032144167,2.19e-06,0.003384346
"CCL2","ENSCAFG00000029475","B3GALT5",26.59053759,5.138567199,1.267633015,2.6540064896,7.62312790839999,4.05367100587862,2.06e-06,0.003384346
"CCL2","ENSCAFG00000041972","NA",15.70429112,3.591882756,0.877946856,1.87110691824,5.31265859376,4.09123027373766,2.71e-06,0.003795398
"CCL2","ENSCAFG00000041632","NA",30.67864641,3.094333127,0.799290341,1.52772405864,4.66094219536,3.87135058222854,3.98e-06,0.005125108
"CCL2","ENSCAFG00000019552","ARHGAP45",1930.433259,-5.067831093,1.415426731,-7.84206748576,-2.29359470024,-3.58042629972063,4.79e-06,0.005684724
"CCL2","ENSCAFG00000002145","IL1RL2",16.46331474,3.362018483,0.920976298,1.55690493892,5.16713202708,3.65049403584108,5.86e-06,0.006457119
"CCL2","ENSCAFG00000015180","SELP",217.8883233,5.530931849,1.945949966,1.71686991564,9.34499378236,2.84227855065005,1.02e-05,0.00908583
"CCL2","ENSCAFG00000015233","PROM1",241.0978354,5.346855994,1.847729243,1.72530667772,8.96840531028,2.89374431576282,1.06e-05,0.00908583
"CCL2","ENSCAFG00000016956","KCNMB1",50.67865509,4.787788009,1.523244983,1.80222784232,7.77334817568,3.14315035495508,9.81999999999999e-06,0.00908583
"CCL2","ENSCAFG00000031168","ZNF454",14.14821478,-2.53819838,0.780562238,-4.06810036647999,-1.00829639351999,-3.25175656268424,9.23e-06,0.00908583
"CCL2","ENSCAFG00000005012","TMEM163",57.36851675,3.92900968,1.340871647,1.30090125188,6.55711810812,2.93019073733908,1.6e-05,0.011537955
"CCL2","ENSCAFG00000005731","NRG2",31.09546587,3.205303362,1.103644438,1.04216026352,5.36844646047999,2.90428987057514,1.72e-05,0.011537955
"CCL2","ENSCAFG00000010154","MYH15",82.68133937,4.595509744,1.663868163,1.33432814452,7.85669134348,2.76194343169243,1.7e-05,0.011537955
"CCL2","ENSCAFG00000010924","PKNOX2",54.00323056,3.722225233,1.243406592,1.28514831268,6.15930215332,2.99357045149073,1.51e-05,0.011537955
"CCL2","ENSCAFG00000023591","VNN1",36.92914981,4.453016839,1.575752387,1.36454216048,7.54149151752,2.8259622994942,1.64e-05,0.011537955
"CCL2","ENSCAFG00000019993","S1PR1",1253.089503,3.89956091,1.377044926,1.20055285504,6.59856896496,2.83183274297907,1.84e-05,0.011803719
"CCL2","ENSCAFG00000016716","CPLX2",405.7858451,4.657067147,1.84149058,1.0477456102,8.2663886838,2.52896604390992,2.21e-05,0.013626116
"CCL2","ENSCAFG00000004375","NUP210",592.1954058,-5.225651197,2.39224221,-9.9144459286,-0.5368564654,-2.18441559769986,2.36e-05,0.01399086
"CCL2","ENSCAFG00000006089","SMOX",368.4787478,1.246749997,0.7102026,-0.145247099,2.638747093,1.75548497991981,4.07e-05,0.022428426
"CCL2","ENSCAFG00000014333","S100P",246.7340645,4.176386781,1.912507807,0.427871479279999,7.92490208271999,2.18372273604005,3.94e-05,0.022428426
"CCL2","ENSCAFG00000017016","H1-9",168.674709,4.717318761,2.511952219,-0.20610758824,9.64074511024,1.87794924016426,4.22e-05,0.022485223
"CCL2","ENSCAFG00000011807","CFAP45",45.35820828,2.953315677,1.393053758,0.222930311319999,5.68370104268,2.12002994144322,5.09e-05,0.025368666
"CCL2","ENSCAFG00000017663","SIGLEC15",327.835784,4.112038045,2.099592967,-0.00316417031999982,8.22724026032,1.9584929601262,5.27e-05,0.025368666
"CCL2","ENSCAFG00000019474","ARHGEF16",112.37243,4.075765664,2.09511628,-0.0306622447999993,8.1821935728,1.94536489592835,5.42e-05,0.025368666
"CCL2","ENSCAFG00000034268","NA",9.297184188,2.251957923,1.119554147,0.0576317948799998,4.44628405112,2.01147745201465,5.3e-05,0.025368666
"CCL2","ENSCAFG00000013228","CNKSR2",15.25415749,3.633887193,1.854935217,-0.00178583231999995,7.26956021832,1.9590372535366,6.05e-05,0.027019407
"CCL2","ENSCAFG00000019207","HMOX2",2135.715739,0.320503498,0.130987472,0.06376805288,0.57723894312,2.44682558649578,6.13e-05,0.027019407
"CCL2","ENSCAFG00000000192","SEMA6A",691.4630807,-4.428766039,2.874395742,-10.06258169332,1.20504961531999,-1.5407641941184,6.35e-05,0.027067028
"CCL2","ENSCAFG00000028834","FAM104A",1378.690089,0.469689961,0.357930036,-0.23185290956,1.17123283156,1.31223958248645,6.49e-05,0.027067028
"CCL2","ENSCAFG00000015155","TIMP1",17405.3204,2.07474692,1.17522057,-0.2286853972,4.37817923719999,1.76541065818819,7.65e-05,0.031085052
"CCL2","ENSCAFG00000009781","HERC6",665.5765514,-2.368356801,1.327892873,-4.97102683208,0.234313230079999,-1.78354508044716,8.08e-05,0.031963152
"CCL2","ENSCAFG00000010306","TRPM1",19.32898455,1.934012448,1.184970987,-0.38853068652,4.25655558252,1.63211797522262,9.36e-05,0.036126612
"CCL2","ENSCAFG00000015976","RASAL3",243.7000303,-3.435369955,2.082196705,-7.5164754968,0.645735586799999,-1.649877721327,9.65e-05,0.036343371
"CCL2","ENSCAFG00000009306","F2RL2",36.69778473,3.595864854,2.33975809,-0.9900610024,8.1817907104,1.53685326246697,0.000105759,0.036457701
"CCL2","ENSCAFG00000012082","SEMA4B",1007.822612,0.917216018,0.72080873,-0.4955690928,2.3300011288,1.2724818385593,0.000100293,0.036457701
"CCL2","ENSCAFG00000018641","LGALS9",1115.19344,-3.083373543,1.862165685,-6.7332182856,0.566471199599999,-1.6557997861506,0.00010267,0.036457701
"CCL2","ENSCAFG00000032326","S100A2",404.0351255,2.258348987,1.3945881,-0.475043688999999,4.991741663,1.61936631109931,0.000106298,0.036457701
"CCL2","ENSCAFG00000012003","LAT2",318.5983107,-3.303310903,2.12832383,-7.47482560979999,0.868203803799999,-1.55207156751141,0.000114575,0.037958337
"CCL2","ENSCAFG00000017880","DCUN1D3",127.2914015,0.422747845,0.354453424,-0.27198086604,1.11747655604,1.19267530337074,0.000115592,0.037958337
"CCL2","ENSCAFG00000010599","HYAL1",206.6421942,1.988708431,1.319540596,-0.597591137159999,4.57500799916,1.50712182484456,0.000123587,0.039738314
"CCL2","ENSCAFG00000028574","NXT2",840.3459111,-2.208631172,1.457127395,-5.0646008662,0.6473385222,-1.51574335887082,0.000128601,0.040506636
"CCL2","ENSCAFG00000008382","FAIM2",32.75113778,3.206434078,2.252047592,-1.20757920231999,7.62044735832,1.42378610886834,0.000140962,0.042106576
"CCL2","ENSCAFG00000014444","NA",2551.759177,-0.85967084,0.743711534,-2.31734544664,0.598003766639999,-1.15591973594428,0.000140083,0.042106576
"CCL2","ENSCAFG00000017482","ITGA11",80.7834456,3.352058199,2.439664222,-1.42968367612,8.13380007412,1.37398342311715,0.000141865,0.042106576
"CCL2","ENSCAFG00000009592","NELL2",96.0757444,-3.345569188,2.463489087,-8.17400779852,1.48286942252,-1.35806129836531,0.000144859,0.042183946
"CCL2","ENSCAFG00000020343","IFI44L",233.0856267,-2.754806835,1.962960066,-6.60220856436,1.09259489436,-1.40339423237151,0.00016148,0.046153262
"CCL2","ENSCAFG00000002283","FGD3",143.8346018,-3.162016632,2.519345496,-8.09993380416,1.77590054016,-1.25509448268225,0.000177062,0.046349356
"CCL2","ENSCAFG00000004047","NA",7.743144155,2.752651176,2.089689401,-1.34314004995999,6.84844240196,1.31725373860954,0.000187028,0.046349356
"CCL2","ENSCAFG00000004591","C1QL3",46.50494614,2.866902066,2.21489946,-1.47430087559999,7.2081050076,1.29437119732739,0.00018872,0.046349356
